Country,Admin1,Facility name,Facility type,Ownership,Latitude,Longitude,LL source,type,FacilityType
Democratic Republic of the Congo,Equateur,Mampoko Hôpital Général de Référence,Hôpital Général de Référence,Publique,0.8618,18.6755,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Mbandaka Hôpital Général de Référence,Hôpital Général de Référence,Publique,0.0452,18.2645,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Monieka Hôpital Général de Référence,Hôpital Général de Référence,Publique,0.3523,19.2262,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Ntondo Hôpital Général de Référence,Hôpital Général de Référence,Publique,-0.8245,18.1294,Other,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Wangata Hôpital Général de Référence,Hôpital Général de Référence,Publique,0.0544,18.3328,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Kafubu General Referencia,Hôpital Général de Référence,Publique,-11.2639,27.8738,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Kamalondo General Referencia,Hôpital Général de Référence,Publique,-8.0283,23.8505,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Kambove General Referencia,Hôpital Général de Référence,Publique,-10.8765,26.589,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Kapolowe Hôpital Général de Référence,Hôpital Général de Référence,Publique,-11.0316,26.9494,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Kasenga General Referencia,Hôpital Général de Référence,Publique,-10.3804,28.6061,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Kashobwe General Referencia,Hôpital Général de Référence,Publique,-9.6859,28.6253,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Kikula General Referencia,Hôpital Général de Référence,Publique,-10.9737,26.7192,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Kilwa Hôpital Général de Référence,Hôpital Général de Référence,Publique,-9.2834,28.3323,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Kipushi General Referencia,Hôpital Général de Référence,Publique,-11.7602,27.2365,Google Earth,Hôpital,Hospital
